Date,Traffic source,Views
2024-10-29,Channel pages,2
2024-10-30,Channel pages,6
2024-10-31,Channel pages,2
2024-11-01,Channel pages,3
2024-11-02,Channel pages,29
2024-11-03,Channel pages,1
2024-11-04,Channel pages,11
2024-11-05,Channel pages,1
2024-11-06,Channel pages,3
2024-11-07,Channel pages,7
2024-11-08,Channel pages,0
2024-11-09,Channel pages,3
2024-11-10,Channel pages,6
2024-11-11,Channel pages,1
2024-11-12,Channel pages,2
2024-11-13,Channel pages,1
2024-11-14,Channel pages,6
2024-11-15,Channel pages,8
2024-11-16,Channel pages,0
2024-10-20,YouTube search,3
2024-10-21,YouTube search,8
2024-10-22,YouTube search,3
2024-10-23,YouTube search,2
2024-10-24,YouTube search,7
2024-10-25,YouTube search,4
2024-10-26,YouTube search,2
2024-10-27,YouTube search,2
2024-10-28,YouTube search,4
2024-10-29,YouTube search,1
2024-10-30,YouTube search,4
2024-10-31,YouTube search,12
2024-11-01,YouTube search,18
2024-11-02,YouTube search,9
2024-11-03,YouTube search,3
2024-11-04,YouTube search,0
2024-11-05,YouTube search,3
2024-11-06,YouTube search,0
2024-11-07,YouTube search,4
2024-11-08,YouTube search,1
2024-11-09,YouTube search,3
2024-11-10,YouTube search,3
2024-11-11,YouTube search,3
2024-11-12,YouTube search,3
2024-11-13,YouTube search,2
2024-11-14,YouTube search,6
2024-11-15,YouTube search,3
2024-11-16,YouTube search,5
2024-10-20,Suggested videos,140
2024-10-21,Suggested videos,167
2024-10-22,Suggested videos,73
2024-10-23,Suggested videos,117
2024-10-24,Suggested videos,68
2024-10-25,Suggested videos,126
2024-10-26,Suggested videos,131
2024-10-27,Suggested videos,115
2024-10-28,Suggested videos,78
2024-10-29,Suggested videos,68
2024-10-30,Suggested videos,86
2024-10-31,Suggested videos,85
2024-11-01,Suggested videos,69
2024-11-02,Suggested videos,132
2024-11-03,Suggested videos,141
2024-11-04,Suggested videos,46
2024-11-05,Suggested videos,84
2024-11-06,Suggested videos,52
2024-11-07,Suggested videos,37
2024-11-08,Suggested videos,31
2024-11-09,Suggested videos,53
2024-11-10,Suggested videos,55
2024-11-11,Suggested videos,69
2024-11-12,Suggested videos,70
2024-11-13,Suggested videos,34
2024-11-14,Suggested videos,34
2024-11-15,Suggested videos,50
2024-11-16,Suggested videos,56
2024-10-20,Other YouTube features,7
2024-10-21,Other YouTube features,3
2024-10-22,Other YouTube features,1
2024-10-23,Other YouTube features,10
2024-10-24,Other YouTube features,3
2024-10-25,Other YouTube features,2
2024-10-26,Other YouTube features,3
2024-10-27,Other YouTube features,12
2024-10-28,Other YouTube features,8
2024-10-29,Other YouTube features,11
2024-10-30,Other YouTube features,5
2024-10-31,Other YouTube features,10
2024-11-01,Other YouTube features,6
2024-11-02,Other YouTube features,10
2024-11-03,Other YouTube features,6
2024-11-04,Other YouTube features,3
2024-11-05,Other YouTube features,2
2024-11-06,Other YouTube features,3
2024-11-07,Other YouTube features,4
2024-11-08,Other YouTube features,0
2024-11-09,Other YouTube features,5
2024-11-10,Other YouTube features,4
2024-11-11,Other YouTube features,2
2024-11-12,Other YouTube features,2
2024-11-13,Other YouTube features,3
2024-11-14,Other YouTube features,1
2024-11-15,Other YouTube features,7
2024-11-16,Other YouTube features,6
2024-10-20,External,3
2024-10-21,External,0
2024-10-22,External,6
2024-10-23,External,25
2024-10-24,External,6
2024-10-25,External,23
2024-10-26,External,0
2024-10-27,External,5
2024-10-28,External,9
2024-10-29,External,0
2024-10-30,External,4
2024-10-31,External,1
2024-11-01,External,2
2024-11-02,External,1
2024-11-03,External,0
2024-11-04,External,3
2024-11-05,External,0
2024-11-06,External,0
2024-11-07,External,0
2024-11-08,External,0
2024-11-09,External,0
2024-11-10,External,0
2024-11-11,External,1
2024-11-12,External,2
2024-11-13,External,1
2024-11-14,External,1
2024-11-15,External,0
2024-11-16,External,0
2024-10-20,Video cards and annotations,0
2024-10-21,Video cards and annotations,1
2024-10-22,Video cards and annotations,0
2024-10-23,Video cards and annotations,0
2024-10-24,Video cards and annotations,0
2024-10-25,Video cards and annotations,0
2024-10-26,Video cards and annotations,0
2024-10-27,Video cards and annotations,0
2024-10-28,Video cards and annotations,0
2024-10-29,Video cards and annotations,0
2024-10-30,Video cards and annotations,0
2024-10-31,Video cards and annotations,0
2024-11-01,Video cards and annotations,0
2024-11-02,Video cards and annotations,0
2024-11-03,Video cards and annotations,0
2024-11-04,Video cards and annotations,0
2024-11-05,Video cards and annotations,0
2024-11-06,Video cards and annotations,0
2024-11-07,Video cards and annotations,0
2024-11-08,Video cards and annotations,0
2024-11-09,Video cards and annotations,0
2024-11-10,Video cards and annotations,0
2024-11-11,Video cards and annotations,0
2024-11-12,Video cards and annotations,0
2024-11-13,Video cards and annotations,0
2024-11-14,Video cards and annotations,0
2024-11-15,Video cards and annotations,0
2024-11-16,Video cards and annotations,0
2024-10-20,Playlists,5
2024-10-21,Playlists,39
2024-10-22,Playlists,5
2024-10-23,Playlists,7
2024-10-24,Playlists,12
2024-10-25,Playlists,14
2024-10-26,Playlists,18
2024-10-27,Playlists,12
2024-10-28,Playlists,2
2024-10-29,Playlists,1
2024-10-30,Playlists,4
2024-10-31,Playlists,21
2024-11-01,Playlists,9
2024-11-02,Playlists,28
2024-11-03,Playlists,7
2024-11-04,Playlists,2
2024-11-05,Playlists,2
2024-11-06,Playlists,2
2024-11-07,Playlists,2
2024-11-08,Playlists,0
2024-11-09,Playlists,5
2024-11-10,Playlists,3
2024-11-11,Playlists,3
2024-11-12,Playlists,2
2024-11-13,Playlists,5
2024-11-14,Playlists,2
2024-11-15,Playlists,2
2024-11-16,Playlists,9
2024-10-20,Notifications,0
2024-10-21,Notifications,0
2024-10-22,Notifications,0
2024-10-23,Notifications,2
2024-10-24,Notifications,0
2024-10-25,Notifications,2
2024-10-26,Notifications,0
2024-10-27,Notifications,1
2024-10-28,Notifications,1
2024-10-29,Notifications,0
2024-10-30,Notifications,0
2024-10-31,Notifications,0
2024-11-01,Notifications,0
2024-11-02,Notifications,1
2024-11-03,Notifications,0
2024-11-04,Notifications,1
2024-11-05,Notifications,0
2024-11-06,Notifications,1
2024-11-07,Notifications,0
2024-11-08,Notifications,1
2024-11-09,Notifications,0
2024-11-10,Notifications,0
2024-11-11,Notifications,0
2024-11-12,Notifications,0
2024-11-13,Notifications,0
2024-11-14,Notifications,0
2024-11-15,Notifications,0
2024-11-16,Notifications,0
2024-10-20,End screens,1
2024-10-21,End screens,2
2024-10-22,End screens,1
2024-10-23,End screens,4
2024-10-24,End screens,1
2024-10-25,End screens,2
2024-10-26,End screens,3
2024-10-27,End screens,1
2024-10-28,End screens,1
2024-10-29,End screens,0
2024-10-30,End screens,1
2024-10-31,End screens,2
2024-11-01,End screens,0
2024-11-02,End screens,4
2024-11-03,End screens,0
2024-11-04,End screens,0
2024-11-05,End screens,1
2024-11-06,End screens,1
2024-11-07,End screens,0
2024-11-08,End screens,0
2024-11-09,End screens,0
2024-11-10,End screens,6
2024-11-11,End screens,0
2024-11-12,End screens,0
2024-11-13,End screens,0
2024-11-14,End screens,0
2024-11-15,End screens,0
2024-11-16,End screens,1
2024-10-20,Shorts feed,85
2024-10-21,Shorts feed,31
2024-10-22,Shorts feed,169
2024-10-23,Shorts feed,342
2024-10-24,Shorts feed,18
2024-10-25,Shorts feed,4
2024-10-26,Shorts feed,0
2024-10-27,Shorts feed,30
2024-10-28,Shorts feed,84
2024-10-29,Shorts feed,6
2024-10-30,Shorts feed,36
2024-10-31,Shorts feed,478
2024-11-01,Shorts feed,3
2024-11-02,Shorts feed,1
2024-11-03,Shorts feed,0
2024-11-04,Shorts feed,22
2024-11-05,Shorts feed,20
2024-11-06,Shorts feed,18
2024-11-07,Shorts feed,37
2024-11-08,Shorts feed,0
2024-11-09,Shorts feed,0
2024-11-10,Shorts feed,0
2024-11-11,Shorts feed,0
2024-11-12,Shorts feed,0
2024-11-13,Shorts feed,0
2024-11-14,Shorts feed,0
2024-11-15,Shorts feed,0
2024-11-16,Shorts feed,0
2024-10-20,Sound pages,1
2024-10-21,Sound pages,0
2024-10-22,Sound pages,0
2024-10-23,Sound pages,1
2024-10-24,Sound pages,0
2024-10-25,Sound pages,0
2024-10-26,Sound pages,0
2024-10-27,Sound pages,0
2024-10-28,Sound pages,1
2024-10-29,Sound pages,0
2024-10-30,Sound pages,0
2024-10-31,Sound pages,0
2024-11-01,Sound pages,0
2024-11-02,Sound pages,0
2024-11-03,Sound pages,0
2024-11-04,Sound pages,0
2024-11-05,Sound pages,0
2024-11-06,Sound pages,0
2024-11-07,Sound pages,0
2024-11-08,Sound pages,0
2024-11-09,Sound pages,0
2024-11-10,Sound pages,0
2024-11-11,Sound pages,0
2024-11-12,Sound pages,0
2024-11-13,Sound pages,0
2024-11-14,Sound pages,0
2024-11-15,Sound pages,0
2024-11-16,Sound pages,0
2024-10-20,Related Shorts,0
2024-10-21,Related Shorts,0
2024-10-22,Related Shorts,0
2024-10-23,Related Shorts,1
2024-10-24,Related Shorts,0
2024-10-25,Related Shorts,0
2024-10-26,Related Shorts,0
2024-10-27,Related Shorts,0
2024-10-28,Related Shorts,1
2024-10-29,Related Shorts,0
2024-10-30,Related Shorts,0
2024-10-31,Related Shorts,0
2024-11-01,Related Shorts,0
2024-11-02,Related Shorts,0
2024-11-03,Related Shorts,0
2024-11-04,Related Shorts,0
2024-11-05,Related Shorts,0
2024-11-06,Related Shorts,0
2024-11-07,Related Shorts,0
2024-11-08,Related Shorts,0
2024-11-09,Related Shorts,0
2024-11-10,Related Shorts,0
2024-11-11,Related Shorts,0
2024-11-12,Related Shorts,0
2024-11-13,Related Shorts,0
2024-11-14,Related Shorts,0
2024-11-15,Related Shorts,0
2024-11-16,Related Shorts,0
